機器ID,評価年,リスクシナリオ,評価タイミング,緩和策,信頼性ランク（5段階）,影響度ランク（5段階）,リスクスコア（再計算）,リスクレベル（5段階）,リスク許容性
TK-100,2024-01-01,腐食,実施前,防食コーティング,低い,中程度,6,低い,許容
TK-100,2024-01-01,漏洩,実施前,シール材交換,低い,中程度,6,低い,許容
TK-100,2024-01-01,破損,実施前,応力緩和対策,中程度,中程度,9,低い,許容
TK-101,2024-01-01,腐食,実施前,防食コーティング,低い,小さい,4,非常に低い,許容
TK-101,2024-01-01,漏洩,実施前,シール材交換,低い,小さい,4,非常に低い,許容
TK-101,2024-01-01,破損,実施前,応力緩和対策,中程度,小さい,6,低い,許容
TK-102,2024-01-01,腐食,実施前,防食コーティング,低い,小さい,4,非常に低い,許容
TK-102,2024-01-01,漏洩,実施前,シール材交換,低い,小さい,4,非常に低い,許容
TK-102,2024-01-01,破損,実施前,応力緩和対策,中程度,中程度,9,低い,許容
TK-103,2024-01-01,腐食,実施前,防食コーティング,低い,小さい,4,非常に低い,許容
TK-103,2024-01-01,漏洩,実施前,シール材交換,中程度,中程度,9,低い,許容
TK-103,2024-01-01,破損,実施前,応力緩和対策,高い,非常に大きい,20,非常に高い,非許容
TK-103,2024-01-01,破損,実施後,応力緩和対策,中程度,非常に大きい,15,中程度,許容
TK-104,2024-01-01,腐食,実施前,防食コーティング,低い,中程度,6,低い,許容
TK-104,2024-01-01,漏洩,実施前,シール材交換,中程度,小さい,6,低い,許容
TK-104,2024-01-01,破損,実施前,応力緩和対策,中程度,中程度,9,低い,許容
TK-105,2024-01-01,腐食,実施前,防食コーティング,中程度,中程度,9,低い,許容
TK-105,2024-01-01,漏洩,実施前,シール材交換,低い,小さい,4,非常に低い,許容
TK-105,2024-01-01,破損,実施前,応力緩和対策,低い,中程度,6,低い,許容
TK-106,2024-01-01,腐食,実施前,防食コーティング,中程度,中程度,9,低い,許容
TK-106,2024-01-01,漏洩,実施前,シール材交換,中程度,小さい,6,低い,許容
TK-106,2024-01-01,破損,実施前,応力緩和対策,低い,小さい,4,非常に低い,許容
